"non_log_precipitation","log_precipitation","Snow_Free_Period"
NA,NA,113
80.2,4.38452351487247,113
74.6,4.31214050720972,127
70.2,4.25134831103177,112
16.7,2.81540871942271,116
78.1,4.35799005684564,114
NA,NA,144
NA,NA,107
36.2,3.58905911883173,110
47.8,3.86702563949741,127
147.5,4.99382817577987,102
81.8,4.4042772436087,93
97.1,4.57574137529728,130
NA,NA,NA
NA,NA,86
145.1,4.97742315989014,112
96.3,4.56746831880408,108
199.5,5.29581423632992,144
133,4.89034912822175,128
NA,NA,110
NA,NA,116
NA,NA,111
NA,NA,110
NA,NA,116
32.5,3.48124008933569,96
53.2,3.9740583963476,108
74.6,4.31214050720972,106
NA,NA,NA
NA,NA,83
NA,NA,95
NA,NA,108
NA,NA,105
NA,NA,110
NA,NA,101
NA,NA,103
NA,NA,90
NA,NA,87
NA,NA,110
NA,NA,96
NA,NA,79
NA,NA,105
NA,NA,NA
193.6,5.26579417484248,120
197.3,5.28472541302857,104
173.2,5.15444699612833,123
96.5,4.56954300834494,117
241,5.48479693349065,131
NA,NA,88
NA,NA,101
NA,NA,96
19,2.94443897916644,NA
38.5,3.65065824129374,NA
30.5,3.41772668361337,NA
12,2.484906649788,99
23.1,3.13983261752775,119
26.4,3.27336401015227,94
24,3.17805383034795,83
21.9,3.08648663682246,102
51.1,3.93378449720966,76
36.2,3.58905911883173,101
10,2.30258509299405,104
15.6,2.74727091425549,106
11.6,2.45100509811232,86
77.7,4.3528552573736,107
62.5,4.13516655674236,85
69.5,4.24132675257075,71
NA,NA,NA
31.9,3.4626060097908,140
44.8,3.80220813942094,120
NA,NA,132
NA,NA,132
NA,NA,138
NA,NA,137
NA,NA,136
NA,NA,140
NA,NA,113
NA,NA,135
NA,NA,139
122.6,4.80892702350211,131
105,4.65396035015752,111
118.7,4.77659930161562,NA
79.2,4.37197629882038,97
62.1,4.12874598893943,93
62.9,4.1415461637064,131
88.6,4.48413185761104,117
100.2,4.60716818865076,104
99.3,4.59814557105113,110
78.5,4.36309862478836,113
85.2,4.44500143383527,104
126.5,4.84024230816757,103
85.4,4.44734610079452,124
43.84,3.78054664263976,93
NA,NA,119
NA,NA,100
