"SO2","manu","popul","wind","precip","predays","negtemp","Region","City"
46,44,116,8.8,33.36,135,-47.6,"East","Albany"
11,46,244,8.9,7.77,58,-56.8,"West","Albuquerque"
24,368,497,9.1,48.34,115,-61.5,"South","Atlanta"
47,625,905,9.6,41.31,111,-55,"East","Baltimore"
11,391,463,12.4,36.11,166,-47.1,"Midwest","Buffalo"
31,35,71,6.5,40.75,148,-55.2,"South","Charleston"
110,3344,3369,10.4,34.44,122,-50.6,"Midwest","Chicago"
23,462,453,7.1,39.04,132,-54,"Midwest","Cincinnati"
65,1007,751,10.9,34.99,155,-49.7,"Midwest","Cleveland"
26,266,540,8.6,37.01,134,-51.5,"Midwest","Columbus"
9,641,844,10.9,35.94,78,-66.2,"South","Dallas"
17,454,515,9,12.95,86,-51.9,"West","Denver"
17,104,201,11.2,30.85,103,-49,"Midwest","Des Moines"
35,1064,1513,10.1,30.96,129,-49.9,"Midwest","Detroit"
56,412,158,9,43.37,127,-49.1,"East","Hartford"
10,721,1233,10.8,48.19,103,-68.9,"South","Houston"
28,361,746,9.7,38.74,121,-52.3,"Midwest","Indianapolis"
14,136,529,8.8,54.47,116,-68.4,"South","Jacksonville"
14,381,507,10,37,99,-54.5,"Midwest","Kansas City"
13,91,132,8.2,48.52,100,-61,"South","Little Rock"
30,291,593,8.3,43.11,123,-55.6,"Midwest","Louisville"
10,337,624,9.2,49.1,105,-61.6,"South","Memphis"
10,207,335,9,59.8,128,-75.5,"South","Miami"
16,569,717,11.8,29.07,123,-45.7,"Midwest","Milwaukee"
29,699,744,10.6,25.94,137,-43.5,"Midwest","Minneapolis"
18,275,448,7.9,46,119,-59.4,"South","Nashville"
9,204,361,8.4,56.77,113,-68.3,"South","New Orleans"
31,96,308,10.6,44.68,116,-59.3,"South","Norfolk"
14,181,347,10.9,30.18,98,-51.5,"Midwest","Omaha"
69,1692,1950,9.6,39.93,115,-54.6,"East","Philadelphia"
10,213,582,6,7.05,36,-70.3,"West","Phoenix"
61,347,520,9.4,36.22,147,-50.4,"Midwest","Pittsburgh"
94,343,179,10.6,42.75,125,-50,"East","Providence"
26,197,299,7.6,42.59,115,-57.8,"South","Richmond"
28,137,176,8.7,15.17,89,-51,"West","Salt Lake City"
12,453,716,8.7,20.66,67,-56.7,"West","San Francisco"
29,379,531,9.4,38.79,164,-51.1,"West","Seattle"
56,775,622,9.5,35.89,105,-55.9,"Midwest","St. Louis"
29,434,757,9.3,38.89,111,-57.3,"East","Washington"
8,125,277,12.7,30.58,82,-56.6,"Midwest","Wichita"
36,80,80,9,40.25,114,-54,"South","Wilmington"
